UNDERWAY SAMPLING - GOMECC 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GMT Date & Time,,Location,,Results/Flags,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample #,Start,End,Latitude,Longitude,SST,SST Flag,Salinity,S Flag,OXYGEN,OXYGEN_FLAG_W,O2 Temp,DIC,DIC_FLAG_W,pCO2_uatm-20C,pCO2 Flag,CARBONATE,CARBONATE_FLAG_W,TA,TA_FLAG_W,SILICATE,SILICATE_FLAG_W,NITRITE,NITRITE_FLAG_W,NITRATE,NITRATE_FLAG_W,NITRATE_NITRITE,NITRATE_NITRITE_FLAG_W,PHOSPHATE,PHOSPHATE_FLAG_W,PH_TOT,PH_TOT_FLAG_W
,,,,,,,,,UMOL/KG,,,UMOL/KG,,,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,@ 25 C,
UW-122,8/14/17 14:28:57,8/14/17 14:32:53,22.1715,-88.3509,27.426,2,36.427,2,202.267,2,27.5,2050.70,2,308.81,2,232.851,2,2380.42,2,0.8,2,0.0,2,0.00,2,0.00,2,0.03,2,8.0609,2
UW-123,8/14/17 16:30:53,8/14/17 16:38:37,22.1428,-88.1019,29.131,2,36.398,2,194.986,2,29.1,2037.63,6,296.58,2,239.398,2,2375.25,2,0.9,2,0.0,2,0.00,2,0.00,2,0.01,2,8.0847,3
UW-124,8/14/17 18:29:27,8/14/17 18:35:52,22.1143,-87.4517,28.556,2,36.366,2,200.453,2,28.6,2037.64,2,303.95,2,234.533,2,2373.90,2,0.9,2,0.0,2,0.00,2,0.00,2,0.00,2,8.0723,2
UW-125,8/14/17 20:29:58,8/14/17 20:35:17,22.0739,-87.2034,27.789,2,36.308,2,207.275,2,27.9,2043.40,2,313.29,2,242.287,2,2370.01,2,0.8,2,0.0,2,0.00,2,0.00,2,0.00,2,8.0711,2
UW-126,8/14/17 22:30:28,8/14/17 22:36:01,22.0626,-86.5803,29.766,2,36.115,2,193.768,2,29.9,2020.99,2,291.70,2,235.250,3,2354.23,2,1.8,2,0.0,2,0.00,2,0.00,2,0.00,2,8.0850,2
UW-127,8/15/17 0:29:38,8/15/17 0:35:46,21.4842,-86.4530,27.516,2,36.264,2,206.132,2,27.7,2052.76,6,317.41,2,231.733,2,2367.32,2,1.2,2,0.0,2,0.00,2,0.00,2,0.01,2,8.0608,2
UW-128,8/15/17 2:30:05,8/15/17 2:44:14,21.3665,-86.4155,29.232,2,36.164,2,196.241,2,29.3,2024.61,2,289.67,2,236.832,2,2360.70,2,1.8,2,0.0,2,0.00,2,0.00,2,0.00,2,8.0881,2
UW-129,8/16/17 8:31:17,8/16/17 8:36:23,21.5952,-85.0264,30.462,2,36.297,2,189.379,2,30.6,2019.40,2,277.89,2,247.904,2,2368.42,2,1.3,2,0.0,2,0.02,2,0.05,2,0.00,2,8.0977,3
UW-130,8/16/17 10:28:20,8/16/17 10:33:38,22.1177,-84.5541,30.271,2,36.278,2,189.656,2,30.4,2018.67,2,276.39,2,246.344,2,2364.93,2,1.5,2,0.0,2,0.03,2,0.05,2,0.00,2,8.1011,2
UW-131,8/16/17 12:28:19,8/16/17 12:33:56,22.2288,-84.4462,30.18,2,36.245,2,190.863,2,30.3,2018.49,6,276.73,2,246.055,2,2367.35,2,1.4,2,0.0,2,0.02,2,0.04,2,0.00,2,8.0980,2
UW-132,8/16/17 14:29:11,8/16/17 14:33:36,22.3247,-84.3178,30.261,2,36.299,2,191.073,2,30.4,2023.10,2,278.47,2,248.095,2,2371.69,2,1.6,2,0.0,2,0.02,2,0.04,2,0.01,2,8.0989,2
UW-133,8/16/17 16:31:55,8/16/17 16:36:47,22.3978,-84.1650,30.341,2,36.301,2,191.168,2,30.4,2021.55,2,277.59,2,250.578,2,2373.47,2,1.6,2,0.0,2,0.02,2,0.04,2,0.00,2,8.1000,2
UW-134,8/16/17 18:30:21,8/16/17 18:36:36,22.4685,-84.0144,30.351,2,36.285,2,191.477,2,30.4,2022.08,6,278.12,2,246.541,2,2371.48,2,1.6,2,0.0,2,0.01,2,0.03,2,0.01,2,8.1017,2
UW-135,8/16/17 20:29:04,8/16/17 20:40:16,22.5382,-83.4667,30.19,2,36.257,2,191.42,2,30.3,2017.64,2,279.43,2,241.056,2,2367.52,2,1.5,2,0.0,2,0.01,2,0.04,2,0.00,2,8.0993,2
UW-136,8/16/17 22:29:01,8/16/17 22:35:31,23.0457,-83.3420,30.321,2,36.316,2,191.417,2,30.4,2026.82,2,285.53,2,249.532,2,2376.66,2,1.4,2,0.0,2,0.00,2,0.02,2,0.00,2,8.1011,2
UW-137,8/17/17 0:28:06,8/17/17 0:36:14,23.0807,-83.1642,30.291,2,36.319,2,192.485,2,30.4,2025.12,2,284.85,2,245.584,2,2374.49,2,1.6,2,0.0,2,0.00,2,0.02,2,0.00,2,8.0955,2
UW-138,8/17/17 2:29:25,8/17/17 2:36:58,23.0571,-82.5893,29.595,2,36.273,2,195.282,2,29.6,2024.33,6,284.81,2,249.012,2,2371.58,2,1.5,2,0.0,2,0.00,2,0.02,2,0.00,2,8.0972,2
UW-139,8/17/17 4:28:19,8/17/17 4:33:11,23.0899,-82.4286,29.897,2,36.278,2,193.168,2,30,2022.36,2,282.10,2,247.707,2,2368.88,2,1.6,2,0.0,2,0.00,2,0.02,2,0.02,2,8.1003,2
UW-140,8/17/17 6:28:21,8/17/17 6:33:02,23.1229,-82.2643,29.736,2,36.265,2,194.673,2,29.8,2023.77,2,282.40,2,248.849,2,2371.22,2,1.6,2,0.0,2,0.00,2,0.03,2,0.00,2,8.0993,2
UW-141,8/17/17 8:28:20,8/17/17 8:33:35,23.1559,-82.0969,29.403,2,36.291,2,195.183,2,29.5,2028.51,2,285.68,2,250.047,2,2371.39,2,1.4,2,0.0,2,0.01,2,0.03,2,0.00,2,8.0956,2
UW-142,8/17/17 10:28:16,8/17/17 10:33:50,23.2264,-81.5370,29.504,2,36.327,2,195.661,2,29.6,2028.34,6,285.79,2,247.297,2,2375.27,2,1.2,2,0.0,2,0.00,2,0.02,2,0.00,2,8.0940,2
UW-143,8/17/17 12:28:43,8/17/17 12:33:29,23.2092,-81.3655,29.373,2,36.339,2,194.36,2,29.5,2029.37,2,286.48,2,246.340,2,2373.55,2,1.2,2,0.0,2,0.00,2,0.02,2,0.00,2,8.0908,2
UW-144,8/17/17 14:29:53,8/17/17 14:34:50,23.2132,-81.1991,29.524,2,36.307,2,194.154,2,29.6,2030.68,2,286.13,2,242.158,2,2375.30,2,1.3,2,0.0,2,0.01,2,0.03,2,0.00,2,8.0929,2
UW-145,8/17/17 16:28:06,8/17/17 16:34:56,23.2232,-81.0406,29.524,2,36.457,2,194.996,2,29.5,2028.93,2,290.34,2,243.222,2,2370.71,2,1.3,2,0.0,2,0.00,2,0.03,2,0.00,2,8.0868,2
UW-146,8/17/17 18:29:43,8/17/17 18:35:07,23.2308,-80.4739,30.281,2,36.322,2,191.65,2,30.4,2026.04,2,283.57,2,245.312,2,2376.37,2,1.4,2,0.0,2,-0.01,2,0.01,2,0.00,2,8.1071,2
UW-147,8/18/17 22:30:18,8/18/17 22:36:02,24.5417,-80.2504,30.684,2,35.905,2,192.598,2,30.8,2027.41,6,279.64,2,245.436,2,2374.33,2,1.4,2,0.0,2,-0.01,2,0.01,2,0.00,2,8.0983,2
UW-148,8/19/17 0:29:17,8/19/17 0:37:09,25.0530,-80.1416,30.503,2,35.949,2,194.193,2,30.5,2029.04,2,287.86,2,248.648,2,2367.96,2,1.5,2,0.0,2,0.00,2,0.02,2,0.00,2,8.0978,2
UW-149,8/19/17 2:28:23,8/19/17 2:33:15,25.1893,-80.0687,30.735,2,35.913,2,190.917,2,30.8,2024.63,2,281.73,2,243.469,2,2373.10,2,1.5,2,0.0,2,0.00,2,0.02,2,0.00,2,8.1022,2
UW-150,8/19/17 8:28:07,8/19/17 8:34:00,25.4620,-79.5984,30.271,2,36.034,2,191.718,2,30.4,2031.61,2,277.11,2,234.416,2,2386.81,2,1.4,2,0.0,2,-0.01,2,0.01,2,0.00,2,8.1025,2
UW-151,8/19/17 10:28:08,8/19/17 10:34:03,25.5980,-79.5714,30.22,2,36.142,2,192.393,2,30.3,2033.83,6,284.37,2,253.486,2,2386.13,2,1.4,2,0.0,2,-0.01,2,0.01,2,0.00,2,8.0986,2
UW-152,8/19/17 12:28:01,8/19/17 12:33:33,26.1543,-79.5553,30.21,2,36.187,2,192.134,2,30.3,2038.98,2,282.85,2,243.675,2,2392.04,2,1.3,2,0.0,2,-0.02,2,0.00,2,0.00,2,8.1013,2
UW-153,8/19/17 14:28:07,8/19/17 14:33:51,26.3043,-79.4568,30.281,2,36.283,2,190.763,2,30.3,2023.21,9,285.14,2,246.738,2,2365.08,2,1.6,2,0.0,2,-0.02,2,0.00,2,0.00,2,8.0962,2
UW-154,8/19/17 16:30:30,8/19/17 16:37:57,26.4939,-79.5552,30.402,2,36.116,2,192.485,2,30.4,2032.29,2,281.94,2,248.475,2,2385.46,2,1.4,2,0.0,2,-0.02,2,0.01,2,0.00,2,8.1041,2
